year,region,month,billings_thousand_usd
1994,Japan,February,2033128
1994,Japan,March,2308591
1994,Japan,April,2255227
1994,Japan,May,2268816
1994,Japan,June,2565505
1994,Japan,July,2631936
1994,Japan,August,2468047
1994,Japan,September,2768472
1994,Japan,October,2742697
1994,Japan,November,2806029
1994,Japan,December,2659723
1994,Worldwide,January,6667104
1994,Worldwide,February,6989853
1994,Worldwide,March,8216841
1994,Worldwide,April,7686381
1994,Worldwide,May,7777903
1994,Worldwide,June,9158501
1994,Worldwide,July,8031712
1994,Worldwide,August,8449071
1994,Worldwide,September,10076706
1994,Worldwide,October,9272559
1994,Worldwide,November,9461349
1994,Worldwide,December,10090613
1995,Americas,January,2975184
1995,Americas,February,3198121
1995,Americas,March,3994742
1995,Americas,April,3346810
1995,Americas,May,3451050
1995,Americas,June,4355697
1995,Americas,July,3398858
1995,Americas,August,3965714
1995,Americas,September,4852650
1995,Americas,October,4114971
1995,Americas,November,4386548
1995,Americas,December,4958117
1995,Asia Pacific,January,1842393
1995,Asia Pacific,February,2043788
1995,Asia Pacific,March,2469688
1995,Asia Pacific,April,2285955
1995,Asia Pacific,May,2408738
1995,Asia Pacific,June,2821276
1995,Asia Pacific,July,2432135
1995,Asia Pacific,August,2572269
1995,Asia Pacific,September,2749308
1995,Asia Pacific,October,2570824
1995,Asia Pacific,November,2669079
1995,Asia Pacific,December,2674418
1995,Europe,January,1887830
1995,Europe,February,2006521
1995,Europe,March,2485883
1995,Europe,April,2139874
1995,Europe,May,2190945
1995,Europe,June,2613929
1995,Europe,July,2064455
1995,Europe,August,2229756
1995,Europe,September,2851230
1995,Europe,October,2492094
1995,Europe,November,2644315
1995,Europe,December,2591838
1995,Japan,January,2518007
1995,Japan,February,2763394
1995,Japan,March,3166605
1995,Japan,April,3381908
1995,Japan,May,3323489
1995,Japan,June,3811247
1995,Japan,July,3592339
1995,Japan,August,3273628
1995,Japan,September,3422927
1995,Japan,October,3378168
1995,Japan,November,3432276
1995,Japan,December,3602689
1995,Worldwide,January,9223414
1995,Worldwide,February,10011824
1995,Worldwide,March,12116918
1995,Worldwide,April,11154547
1995,Worldwide,May,11374222
1995,Worldwide,June,13602149
1995,Worldwide,July,11487787
1995,Worldwide,August,12041368
1995,Worldwide,September,13876115
1995,Worldwide,October,12556058
1995,Worldwide,November,13132217
1995,Worldwide,December,13827062
1996,Americas,January,3675343
1996,Americas,February,3944980
1996,Americas,March,4567057
1996,Americas,April,3205334
1996,Americas,May,3248067
1996,Americas,June,3625373
1996,Americas,July,2787850
1996,Americas,August,3126662
1996,Americas,September,3909092
1996,Americas,October,3314033
1996,Americas,November,3398109
1996,Americas,December,3877116
1996,Asia Pacific,January,2412289
1996,Asia Pacific,February,2204552
1996,Asia Pacific,March,2623579
1996,Asia Pacific,April,2190414
1996,Asia Pacific,May,2101610
1996,Asia Pacific,June,2440959
1996,Asia Pacific,July,2002191
1996,Asia Pacific,August,2079751
1996,Asia Pacific,September,2478693
1996,Asia Pacific,October,2197499
1996,Asia Pacific,November,2292074
1996,Asia Pacific,December,2526581
1996,Europe,January,2452042
1996,Europe,February,2545294
1996,Europe,March,2824629
1996,Europe,April,2207867
1996,Europe,May,2073280
1996,Europe,June,2310978
1996,Europe,July,1746097
1996,Europe,August,1832233
1996,Europe,September,2571859
1996,Europe,October,2296102
1996,Europe,November,2265380
1996,Europe,December,2436228
1996,Japan,January,2866624
1996,Japan,February,3000074
1996,Japan,March,3203510
1996,Japan,April,2718915
1996,Japan,May,2730779
1996,Japan,June,2954049
1996,Japan,July,2714929
1996,Japan,August,2592154
1996,Japan,September,3028488
1996,Japan,October,2680685
1996,Japan,November,2848916
1996,Japan,December,2836114
1996,Worldwide,January,11406298
1996,Worldwide,February,11694900
1996,Worldwide,March,13218775
1996,Worldwide,April,10322530
1996,Worldwide,May,10153736
1996,Worldwide,June,11331358
1996,Worldwide,July,9251067
1996,Worldwide,August,9630800
1996,Worldwide,September,11988132
1996,Worldwide,October,10488318
1996,Worldwide,November,10804479
1996,Worldwide,December,11676039
1997,Americas,January,3030591
1997,Americas,February,3363775
1997,Americas,March,4647195
1997,Americas,April,3371540
1997,Americas,May,3732943
1997,Americas,June,4462311
1997,Americas,July,3380788
1997,Americas,August,3765124
1997,Americas,September,4686234
1997,Americas,October,3479007
1997,Americas,November,3760475
1997,Americas,December,4170911
1997,Asia Pacific,January,1952130
1997,Asia Pacific,February,2038418
1997,Asia Pacific,March,2984934
1997,Asia Pacific,April,2165731
1997,Asia Pacific,May,2432448
1997,Asia Pacific,June,2797763
1997,Asia Pacific,July,2397599
1997,Asia Pacific,August,2566652
1997,Asia Pacific,September,3097224
1997,Asia Pacific,October,2533531
1997,Asia Pacific,November,2569883
1997,Asia Pacific,December,2647733
1997,Europe,January,2119212
1997,Europe,February,2213728
1997,Europe,March,2791913
1997,Europe,April,2179595
1997,Europe,May,2174539
1997,Europe,June,2755834
1997,Europe,July,2000471
1997,Europe,August,2095908
1997,Europe,September,3052165
1997,Europe,October,2461922
1997,Europe,November,2554419
1997,Europe,December,2689093
1997,Japan,January,2409249
1997,Japan,February,2493755
1997,Japan,March,2858376
1997,Japan,April,2322244
1997,Japan,May,2713631
1997,Japan,June,3251312
1997,Japan,July,2849744
1997,Japan,August,2595026
1997,Japan,September,3001634
1997,Japan,October,2636161
1997,Japan,November,2509186
1997,Japan,December,2439064
1997,Worldwide,January,9511182
1997,Worldwide,February,10109676
1997,Worldwide,March,13282418
1997,Worldwide,April,10039110
1997,Worldwide,May,11053561
1997,Worldwide,June,13267220
1997,Worldwide,July,10628604
1997,Worldwide,August,11022709
1997,Worldwide,September,13837257
1997,Worldwide,October,11110621
1997,Worldwide,November,11393962
1997,Worldwide,December,11946800
1998,Americas,January,3133805
1998,Americas,February,3335998
1998,Americas,March,3853748
1998,Americas,April,3021827
1998,Americas,May,2949506
1998,Americas,June,3818223
1998,Americas,July,2877577
1998,Americas,August,3271366
1998,Americas,September,4210405
1998,Americas,October,3398594
1998,Americas,November,3478136
1998,Americas,December,4082741
1998,Asia Pacific,January,2019984
1998,Asia Pacific,February,2272918
1998,Asia Pacific,March,2698388
1998,Asia Pacific,April,2314450
1998,Asia Pacific,May,2037949
1998,Asia Pacific,June,2431241
1998,Asia Pacific,July,2109965
1998,Asia Pacific,August,2241523
1998,Asia Pacific,September,2790774
1998,Asia Pacific,October,2507198
1998,Asia Pacific,November,2605070
1998,Asia Pacific,December,2823332
1998,Europe,January,2296305
1998,Europe,February,2315488
1998,Europe,March,2728293
1998,Europe,April,2202143
1998,Europe,May,2081210
1998,Europe,June,2585314
1998,Europe,July,1984717
1998,Europe,August,2122412
1998,Europe,September,2998842
1998,Europe,October,2621688
1998,Europe,November,2684199
1998,Europe,December,2785653
1998,Japan,January,2107819
1998,Japan,February,2175518
1998,Japan,March,2429828
1998,Japan,April,2000880
1998,Japan,May,1960964
1998,Japan,June,2200326
1998,Japan,July,1998234
1998,Japan,August,1824718
1998,Japan,September,2271433
1998,Japan,October,2346921
1998,Japan,November,2274550
1998,Japan,December,2329826
1998,Worldwide,January,9557913
1998,Worldwide,February,10099922
1998,Worldwide,March,11710257
1998,Worldwide,April,9539300
1998,Worldwide,May,9029629
1998,Worldwide,June,11035104
1998,Worldwide,July,8970493
1998,Worldwide,August,9460019
1998,Worldwide,September,12271454
1998,Worldwide,October,10874401
1998,Worldwide,November,11041955
1998,Worldwide,December,12021552
1999,Americas,January,3219522
1999,Americas,February,3373861
1999,Americas,March,4259443
1999,Americas,April,3281477
1999,Americas,May,3435805
1999,Americas,June,4278314
1999,Americas,July,3617796
1999,Americas,August,3817852
1999,Americas,September,4637938
1999,Americas,October,4086671
1999,Americas,November,4200511
1999,Americas,December,5268690
1999,Asia Pacific,January,2476532
1999,Asia Pacific,February,2363997
1999,Asia Pacific,March,2989220
1999,Asia Pacific,April,2628275
1999,Asia Pacific,May,2716116
1999,Asia Pacific,June,3007709
1999,Asia Pacific,July,2780811
1999,Asia Pacific,August,2989192
1999,Asia Pacific,September,3827276
1999,Asia Pacific,October,3397875
1999,Asia Pacific,November,3791692
1999,Asia Pacific,December,4215605
1999,Europe,January,2294293
1999,Europe,February,2412757
1999,Europe,March,2890815
1999,Europe,April,2149507
1999,Europe,May,2206092
1999,Europe,June,2623049
1999,Europe,July,2233808
1999,Europe,August,2467182
1999,Europe,September,3276095
1999,Europe,October,2791699
1999,Europe,November,3133424
1999,Europe,December,3402553
1999,Japan,January,2280451
1999,Japan,February,2304261
1999,Japan,March,2677624
1999,Japan,April,2306819
1999,Japan,May,2371840
1999,Japan,June,2700963
1999,Japan,July,2610182
1999,Japan,August,2607673
1999,Japan,September,3149993
1999,Japan,October,3114181
1999,Japan,November,3300784
1999,Japan,December,3410326
1999,Worldwide,January,10270798
1999,Worldwide,February,10454876
1999,Worldwide,March,12817102
1999,Worldwide,April,10366078
1999,Worldwide,May,10729853
1999,Worldwide,June,12610035
1999,Worldwide,July,11242597
1999,Worldwide,August,11881899
1999,Worldwide,September,14891302
1999,Worldwide,October,13390426
1999,Worldwide,November,14426411
1999,Worldwide,December,16297174
2000,Americas,January,4132023
2000,Americas,February,4070165
2000,Americas,March,5594723
2000,Americas,April,4257407
2000,Americas,May,4915747
2000,Americas,June,6756937
2000,Americas,July,4947587
2000,Americas,August,5821267
2000,Americas,September,6923671
2000,Americas,October,4948717
2000,Americas,November,4936959
2000,Americas,December,6766156
2000,Asia Pacific,January,3550964
2000,Asia Pacific,February,3441499
2000,Asia Pacific,March,4468914
2000,Asia Pacific,April,3735897
2000,Asia Pacific,May,3953033
2000,Asia Pacific,June,5093919
2000,Asia Pacific,July,4221957
2000,Asia Pacific,August,4594272
2000,Asia Pacific,September,5291625
2000,Asia Pacific,October,3924623
2000,Asia Pacific,November,4111899
2000,Asia Pacific,December,4875379
2000,Europe,January,2949840
2000,Europe,February,3083193
2000,Europe,March,3858674
2000,Europe,April,3060428
2000,Europe,May,3275103
2000,Europe,June,4040056
2000,Europe,July,3007787
2000,Europe,August,3613962
2000,Europe,September,4244418
2000,Europe,October,3525230
2000,Europe,November,3634755
2000,Europe,December,4015491
2000,Japan,January,3158416
2000,Japan,February,3246422
2000,Japan,March,3655218
2000,Japan,April,3381266
2000,Japan,May,3552574
2000,Japan,June,4199465
2000,Japan,July,3913499
2000,Japan,August,4035747
2000,Japan,September,4690269
2000,Japan,October,4334285
2000,Japan,November,4256402
2000,Japan,December,4325783
2000,Worldwide,January,13791243
2000,Worldwide,February,13841279
2000,Worldwide,March,17577529
2000,Worldwide,April,14434998
2000,Worldwide,May,15696457
2000,Worldwide,June,20090377
2000,Worldwide,July,16090830
2000,Worldwide,August,18065248
2000,Worldwide,September,21149983
2000,Worldwide,October,16732855
2000,Worldwide,November,16940015
2000,Worldwide,December,19982809
2001,Americas,January,3664548
2001,Americas,February,3811278
2001,Americas,March,4865580
2001,Americas,April,2615034
2001,Americas,May,2575637
2001,Americas,June,3514163
2001,Americas,July,1978417
2001,Americas,August,2308767
2001,Americas,September,3028710
2001,Americas,October,2207125
2001,Americas,November,2268857
2001,Americas,December,2940332
2001,Asia Pacific,January,2715752
2001,Asia Pacific,February,3280120
2001,Asia Pacific,March,4278414
2001,Asia Pacific,April,3061114
2001,Asia Pacific,May,2855898
2001,Asia Pacific,June,3743768
