iso3,country,year,gdp_current_usd,gdp_growth_pct,inflation_cpi_pct
WLD,World,2002,35048255697763.3,2.31891535273219,2.90799688587762
WLD,World,2003,39288473726074.5,3.07416318395302,3.02504526252236
WLD,World,2004,44264898214305.3,4.49537859755031,3.51799903099596
WLD,World,2005,47938461749088.8,4.0591513939051,4.10725070715931
WLD,World,2006,51965655998564.4,4.48913510541222,4.26717463390264
WLD,World,2007,58574302755950.8,4.43123376835285,4.81023704342912
WLD,World,2008,64378551514749.4,2.0916044806491,8.94995335353387
WLD,World,2009,61049315651690.3,-1.33303814192499,2.86044855902674
WLD,World,2010,66893676131662.8,4.52085213873784,3.32634463368643
WLD,World,2011,74388644404622.5,3.31431839310667,4.80063594169405
WLD,World,2012,76055253368044.6,2.74743359443485,3.72532666110646
WLD,World,2013,78171001460419,2.88974765617324,2.65167342916577
WLD,World,2014,80243543597078.9,3.16849193058366,2.39371597209796
WLD,World,2015,75839351828606.2,3.12721325699906,1.43702380935655
WLD,World,2016,77084966373474,2.78974074234593,1.59691227583204
WLD,World,2017,82110104984460,3.44658623167955,2.22314331448899
WLD,World,2018,87310840056717.8,3.28663086462807,2.44258329692817
WLD,World,2019,88796498078977.7,2.680308747553,2.20607305781525
WLD,World,2020,86388502867289.2,-2.88621185457086,1.90509722047501
WLD,World,2021,98780038374127,6.48508887596752,3.47540320289875
WLD,World,2022,102862471365575,3.44001097265647,8.08169507021982
WLD,World,2023,107348614073350,2.85938493335973,5.79944107391962
WLD,World,2024,111669432109121,2.90001340156714,3.01447576977999
WLD,World,2025,118350166039396,2.92127318539153,3.0414132155654
