Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2009,35,NE,1,7830,3770,1610,2110,-2.49,-3.33,-2.42,-3.21
2009,36,NE,1,7770,3630,1590,2030,0.13,-4.47,-8.62,-1.93
2009,37,NE,1,6260,2960,1260,1640,-6.57,-8.64,-13.7,-8.89
2009,38,NE,1,7910,3780,1620,2100,-5.72,-7.35,-7.43,-6.67
2009,39,NE,1,8300,3950,1700,2230,0.48,-5.73,-9.09,-4.29
2009,40,NE,1,7830,3660,1560,2050,-5.66,-13.48,-16.58,-12.39
2009,41,NE,1,8160,3800,1580,2120,3.55,-3.31,-7.06,-4.93
2009,42,NE,1,6870,3390,1390,1900,-12.93,-11.02,-15.24,-10.38
2009,43,NE,1,8320,4060,1670,2310,24.18,21.19,15.97,24.86
2009,44,NE,1,8270,3960,1680,2220,4.16,0.0,-3.45,1.83
2009,45,NE,1,7870,3820,1580,2150,3.69,0.0,-1.86,2.38
2009,46,NE,1,7460,3570,1520,1970,0.13,-3.51,-8.43,-3.43
2009,47,NE,1,7960,3830,1680,2070,11.95,12.32,12.75,6.7
2009,48,NE,1,5720,2690,1110,1490,-27.96,-31.03,-34.71,-30.05
2009,49,NE,1,7650,3690,1610,2040,45.99,41.38,41.23,36.0
2009,50,NE,1,7980,3800,1670,2040,7.55,3.83,3.09,-0.97
2009,51,NE,1,7890,3760,1690,2030,6.48,0.8,-4.52,-2.87
2009,52,NE,1,5410,2660,1280,1460,-23.48,-24.86,-21.95,-24.74
2010,1,NE,1,5030,2490,1190,1310,-5.63,-7.09,-8.46,-10.88
2010,2,NE,1,9880,4890,2370,2760,5.33,0.2,-0.84,4.55
2010,3,NE,1,9070,4490,1960,2520,2.6,0.9,-6.22,2.86
2010,4,NE,1,8580,4140,1840,2200,11.28,7.25,4.55,4.76
2010,5,NE,1,10180,4830,2120,2550,15.42,14.73,12.77,12.83
2010,6,NE,1,9670,4620,2000,2480,10.26,7.44,4.71,5.53
2010,7,NE,1,8180,3900,1650,2070,-4.55,-4.41,-8.84,-8.81
2010,8,NE,1,8260,3770,1550,2040,2.48,-2.08,-8.82,-4.23
2010,9,NE,1,9160,4230,1810,2300,-1.51,-5.37,-7.18,-6.12
2010,10,NE,1,10030,4580,1940,2420,12.32,5.53,7.18,2.11
2010,11,NE,1,10150,4780,1990,2530,11.29,5.75,4.19,2.43
2010,12,NE,1,9070,4430,1860,2480,-4.83,-4.53,-9.27,-3.5
2010,13,NE,1,10530,4830,2010,2590,9.8,4.09,-2.9,3.19
2010,14,NE,1,9610,4420,1890,2280,3.78,0.68,-2.07,-4.2
2010,15,NE,1,8980,4040,1720,2160,6.02,-0.49,-0.58,-1.37
2010,16,NE,1,9440,4230,1720,2240,14.29,8.74,4.24,7.69
2010,17,NE,1,9850,4710,1950,2560,11.3,7.53,1.56,6.67
2010,18,NE,1,10010,4780,1980,2550,13.75,7.66,-1.98,3.66
2010,19,NE,1,9390,4470,1860,2480,6.22,1.82,-4.12,0.81
2010,20,NE,1,9390,4430,1830,2380,8.18,2.31,-4.19,1.28
2010,21,NE,1,8930,4200,1730,2330,5.93,3.45,-2.81,2.19
2010,22,NE,1,9330,4420,1820,2430,33.48,28.49,19.74,28.57
2010,23,NE,1,7330,3450,1450,1820,-16.7,-18.44,-22.46,-19.11
2010,24,NE,1,8990,4190,1800,2250,5.52,0.72,-2.17,-0.44
2010,25,NE,1,8710,4180,1790,2270,1.28,-0.71,-6.28,0.44
2010,26,NE,1,8600,4130,1690,2230,4.12,3.77,-2.87,0.45
2010,27,NE,1,8200,3900,1660,2150,21.48,16.07,13.7,15.59
2010,28,NE,1,6600,3090,1270,1660,-17.29,-21.37,-26.16,-23.15
2010,29,NE,1,8290,3850,1620,2080,4.94,0.52,-2.99,-3.7
2010,30,NE,1,8060,3820,1600,1980,0.62,-1.55,-4.76,-8.76
2010,31,NE,1,7960,3710,1530,2000,0.76,-4.38,-10.0,-5.66
2010,32,NE,1,8350,4010,1560,2240,8.72,6.37,-1.89,9.8
2010,33,NE,1,7700,3650,1520,1990,1.58,0.27,-3.18,0.51
2010,34,NE,1,8210,3940,1610,2120,11.4,9.14,1.9,6.53
2010,35,NE,1,8270,3900,1600,2070,5.62,3.45,-0.62,-1.9
2010,36,NE,1,8130,3960,1600,2080,4.63,9.09,0.63,2.46
2010,37,NE,1,6450,2980,1210,1580,3.04,0.68,-3.97,-3.66
2010,38,NE,1,8660,4070,1650,2190,9.48,7.67,1.85,4.29
2010,39,NE,1,8970,4190,1650,2260,8.07,6.08,-2.94,1.35
2010,40,NE,1,8570,4030,1620,2140,9.45,10.11,3.85,4.39
2010,41,NE,1,8400,4000,1590,2170,2.94,5.26,0.63,2.36
2010,42,NE,1,7440,3470,1260,1870,8.3,2.36,-9.35,-1.58
2010,43,NE,1,8770,4160,1690,2210,5.41,2.46,1.2,-4.33
2010,44,NE,1,8650,4220,1690,2210,4.59,6.57,0.6,-0.45
2010,45,NE,1,8420,4130,1600,2250,6.99,8.12,1.27,4.65
2010,46,NE,1,8160,3860,1580,2080,9.38,8.12,3.95,5.58
2010,47,NE,1,8710,4170,1620,2220,9.42,8.88,-3.57,7.25
2010,48,NE,1,6060,2840,1060,1540,5.94,5.58,-4.5,3.36
2010,49,NE,1,8160,3940,1620,2130,6.67,6.78,0.62,4.41
2010,50,NE,1,8730,4050,1660,2150,9.4,6.58,-0.6,5.39
2010,51,NE,1,6880,3230,1330,1780,-12.8,-14.1,-21.3,-12.32
2010,52,NE,1,6280,3110,1400,1660,16.08,16.92,9.38,13.7
2011,1,NE,1,4440,2210,990,1150,-11.73,-11.24,-16.81,-12.21
