filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,OEM and Other,OEMAndOther,77
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Total,Total,30040
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Total,Total,13507
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Total,Total,56084
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Total,Total,20699
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Data Center,DataCenter,26272
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Data Center,DataCenter,10323
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Data Center,DataCenter,48835
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Data Center,DataCenter,14607
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Compute,Compute,22604
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Compute,Compute,8612
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Compute,Compute,41996
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Compute,Compute,11969
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Networking,Networking,3668
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Networking,Networking,1711
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Networking,Networking,6839
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Networking,Networking,2638
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Gaming,Gaming,2880
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Gaming,Gaming,2486
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Gaming,Gaming,5527
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Gaming,Gaming,4726
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,454
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,379
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Professional Visualization,ProfessionalVisualization,881
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Professional Visualization,ProfessionalVisualization,674
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,Automotive,Automotive,346
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,Automotive,Automotive,253
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,Automotive,Automotive,675
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,Automotive,Automotive,549
10-Q,2024-08-28,"Jul. 28, 2024",3 Months Ended,OEM and Other,OEMAndOther,88
10-Q,2024-08-28,"Jul. 30, 2023",3 Months Ended,OEM and Other,OEMAndOther,66
10-Q,2024-08-28,"Jul. 28, 2024",6 Months Ended,OEM and Other,OEMAndOther,166
10-Q,2024-08-28,"Jul. 30, 2023",6 Months Ended,OEM and Other,OEMAndOther,143
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Total,Total,35082
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Total,Total,18120
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Total,Total,91166
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Total,Total,38819
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Data Center,DataCenter,30771
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Data Center,DataCenter,14514
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Data Center,DataCenter,79606
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Data Center,DataCenter,29121
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Compute,Compute,27644
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Compute,Compute,11908
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Compute,Compute,69640
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Compute,Compute,23877
